date,O3,CO,NO2,SO2
2025-09-06,0.1135879720250765,0.032300591468811035,3.40455497445708e-05,0.00012505793109022337
2025-09-07,0.1135519864658514,--,--,-9.684029334623898e-07
2025-09-09,0.1144913616279761,0.02837156007687251,3.162130087730475e-05,4.1535114481424294e-05
2025-09-05,0.1137669074038664,0.03215282917022705,3.5578606738930654e-05,0.00033198483288288116
2025-10-11,0.1138314257065455,0.031637394428253175,3.2004209377033554e-05,-1.2600235440286583e-05
2025-10-12,0.1154537531236807,0.022555437158135808,2.8165068943053485e-05,-1.4324619163138172e-05
2025-10-14,0.1187754839658737,0.029698771238327027,4.269824518511693e-05,6.733962800353765e-05
2025-10-09,0.1188422453900178,0.042022421442229174,4.760774139028329e-05,0.00017600907012820243
2025-10-13,0.1165369359155496,0.027193468192528034,3.308355032155911e-05,2.688126405701041e-05
2025-10-10,0.1166172911723454,0.03534105751249525,3.756910518859513e-05,0.0003623254131525755
2025-10-07,0.1202044792473316,0.04675208568572998,4.6983240948369107e-05,0.00034826180587212244
2025-10-08,0.1182622261345386,0.03485483725865682,2.370855613012931e-05,0.00046706020033785274
2025-10-18,0.1195110229154427,--,5.1714625442400575e-05,0.0001978736991683642
2025-10-19,0.1163047288854916,0.03398567914962768,3.985713119618595e-05,8.84222931095532e-05
2025-10-22,0.1200929999351501,--,--,--
2025-10-16,0.1201484995583693,0.03291583061218262,4.441212222445756e-05,7.432657488000889e-05
2025-10-20,0.1169078581035137,0.032970291596871835,5.543078683937589e-05,-8.61600523681513e-05
2025-10-15,0.1184364991883436,0.03487455099821091,4.96014766395092e-05,-5.258072167634964e-05
2025-10-21,0.1198754305640856,--,--,--
2025-10-17,0.1203642127414544,0.03273673454920451,4.79248228657525e-05,0.00017218211327086794
2025-11-06,0.1133374638855457,0.02537430077791214,--,--
2025-11-03,0.1173647227386633,--,--,3.726421190159661e-05
2025-11-05,0.1141345342000325,0.02842731135232108,2.2574573449674062e-05,1.8915934560936876e-05
2025-10-31,0.1167000897228717,--,--,--
2025-11-02,0.1173827747503916,--,--,-5.792916150918851e-05
2025-11-04,0.115690698971351,--,2.3103744347786738e-05,-0.0002305220812559128
2025-11-07,0.1138921856880188,0.03174044270264475,2.949673762486782e-05,3.346905214129947e-05
